delay,units,,,,,train mse,val mse
6,3,4,7,9,3,0.00739715631561613,0.00761234260529765
12,7,,,,,0.00736007173039676,0.00757053320466414
13,3,,,,,0.00753579519166525,0.00692635648716775
5,8,9,,,,0.0075666516281147,0.00724597467045854
20,3,9,2,7,,0.00743656735551494,0.00745793448597771
17,6,5,9,5,,0.00747118694220595,0.00717881735833422
13,6,2,5,9,6,0.00741677818020252,0.00740607439109555
2,6,6,9,9,8,0.00733115062508433,0.00699978498474217
19,3,3,8,1,4,0.00738073398027825,0.00746063701976485
12,9,3,,,,0.00734939360869015,0.0074857609839494
1,10,10,,,,0.00468680043939362,0.00447540945125665
11,10,2,,,,0.00724058417954372,0.00696440553392988
2,6,3,1,4,,0.00724871909571208,0.00736630798820259
9,10,10,,,,0.00748897403589669,0.00719124251496008
6,1,,,,,0.00739568632915649,0.00770087228710155
7,9,1,10,4,1,0.00743685689790988,0.00731709635721193
20,7,10,4,1,,0.0073297310749458,0.00762379966216013
17,4,,,,,0.00735204678824737,0.0077616635778372
3,6,9,,,,0.00746739279590167,0.00740257664629902
13,4,3,,,,0.00743528000720748,0.00770734648314737
6,8,10,1,7,3,0.00735783712060694,0.00751119965257826
19,2,3,2,2,,0.00733750967642053,0.00750803573363308
