sparsity,reservoir,ro,input_scale,ridge penalty,train mse,val mse
0.3,344,0.1,0.8,6.6,0.0233760205911012,0.0239126191035924
0.9,835,0.4,0.5,3.9,0.0136227882179949,0.0140891661705736
1,205,0.7,0.3,6.6,0.00854200064164797,0.00893556707259762
0.1,538,1,0.3,9.8,0.00702548813236889,0.00724011508255862
0.6,739,0.3,0.1,1.4,0.024023769541233,0.0241403113722298
0.7,877,0.3,1,5.7,0.012531090108416,0.0129895451387537
0.7,948,0.7,0.9,3,0.00540486075358558,0.00576817084624133
0.4,668,0.7,0.4,3.3,0.00621846982869879,0.00662964154475825
0.9,421,0.9,0.4,7.7,0.00577379165799624,0.00607993825702138
0.7,845,0.3,0.7,6.7,0.0161837897084865,0.016668279345946
0.2,432,0.3,0.7,1.3,0.0102176398778099,0.0106616171262547
0.2,987,0.9,0.7,7.3,0.00573807343811355,0.00604332547434455
0.5,142,0.5,0.9,6.2,0.00724282707529927,0.00765974491908198
0.7,327,1,0.9,5,0.00664253789934012,0.00683372982055772
0.4,916,0.7,0.3,9.8,0.00777117720336,0.00817847798053328
0.3,918,0.3,0.6,0.1,0.00677231555092995,0.00708859970747363
1,599,0.6,0.1,10,0.0427184362253026,0.0419062316005399
0.5,253,0.3,0.9,6,0.0131365026644571,0.0136086775666031
0.9,313,0.1,0.2,0.1,0.0226481965491326,0.023192561216592
0.1,153,0.2,0.4,2.6,0.0192708572484142,0.0197951775930768
0.3,121,0.3,1,9.6,0.0138794098102688,0.0143751966710859
0.3,539,0.4,0.3,8.1,0.0156027576890281,0.0159648110424864
0.4,527,0.6,0.9,8.3,0.00645363681517184,0.0068738015906263
0.4,610,0.2,0.2,9.1,0.0306475392588712,0.0304827807913646
0.1,532,0.3,0.2,4,0.0183785776800164,0.0186936704479173
1,358,0.2,0.2,4.7,0.0284196649922141,0.0285011402287938
0.7,240,0.6,0.8,0.8,0.00543949027130989,0.00579296131697861
0.2,410,0.6,0.4,0.3,0.00557208642719116,0.00594646191578111
0.3,163,1,0.7,4.4,0.00663438528211326,0.0068213498451273
0.3,15,0.3,0.9,8.1,0.0139178320753701,0.0144030566740394
0.4,924,0.7,0.3,2.9,0.00659611273055923,0.00701631640952645
0.9,809,0.4,0.3,7.5,0.0201855564023846,0.0204775795998253
0.9,849,0.1,0.2,3.4,0.0284528223889141,0.0286331786558661
0.8,927,0.5,0.6,6.4,0.00990619280639981,0.0103561080426488
0.9,337,0.4,0.7,4.8,0.0116381792319748,0.0120925169020574
0.6,54,0.5,0.5,5.4,0.00985498273196689,0.0103084115324341
0.4,422,0.4,0.1,1,0.0166964363133755,0.017020106935929
0.1,471,0.7,0.7,5.6,0.00634386258342215,0.00676968105932465
0.1,87,0.4,0.8,9.2,0.0119729235159172,0.012481790941629
0.9,839,0.3,0.4,8.4,0.0215201387813054,0.021888217698067
0.2,296,0.2,0.4,8.4,0.021006429961376,0.0214011959152016
0.5,165,0.8,1,5.8,0.00535720666992743,0.00568613492752234
1,275,0.5,0.5,6.3,0.0121278141545675,0.0125764157325839
0.6,991,1,1,6.3,0.00683457031543335,0.00703565964608664
1,354,0.9,0.4,7.3,0.00576370150614467,0.00606872235899426
1,353,0.5,0.5,4.2,0.0104818967381357,0.0109307834896129
0.5,228,1,0.2,1.1,0.00704137424369759,0.00725236555958063
0.2,19,0.7,1,7.1,0.0058021666322525,0.00615576114649645
0.7,671,0.6,0.3,3.7,0.00911236208417078,0.0095505079406469
0.7,29,0.9,0.7,6.1,0.00538095044546197,0.00563148879383461
0.1,706,0.2,0.2,7.2,0.0260785501673022,0.0260947189601058
0.9,423,0.4,0.8,0.7,0.00644118140316566,0.0067846707297435
0.1,87,0.7,0.2,5,0.00757886021122363,0.00800018500495753
0.4,199,0.7,0.7,8.1,0.00604535999353356,0.00644847940600619
0.7,18,0.3,1,2.5,0.0100836103642328,0.0104903017568863
0.9,584,0.3,0.8,4.2,0.0143821651705421,0.0148537069028183
1,857,0.7,0.8,9.4,0.00618216802883082,0.00657582596937304
0.9,864,0.5,0.2,6.9,0.0202584171221765,0.0203866128851969
0.3,930,0.9,0.4,1.1,0.00566457237839947,0.00596479498040047
0.9,47,0.4,0.3,7.1,0.019072302578399,0.0193872920173397
0.3,705,0.2,0.6,9.7,0.0203291998772058,0.0208061074175085
0.2,876,0.4,0.9,8.5,0.0108425920847414,0.0113289882628372
0.2,871,0.6,0.5,9.2,0.00829526894010066,0.00876288348432257
1,412,0.3,0.6,5.6,0.0184260903820704,0.0189090979654679
0.2,151,0.6,0.2,4.9,0.00965778388151943,0.0100683594597809
0.2,597,0.6,0.3,3.4,0.00833205647862471,0.00880077267723901
0.3,635,0.1,0.4,1.1,0.0229562643612676,0.0235046709299868
0.7,850,0.2,0.5,5.4,0.0217013054042627,0.0221813205812296
0.2,328,0.7,0.3,6.9,0.0073142097095292,0.00774585264036299
0.7,135,0.4,0.6,0.3,0.00622693829697541,0.00655828975655094
